1.23466	1.23466	1.23466	1.23459	1.23459	1.23459	2018.03.22 00:00:00
1.23243	1.23243	1.23243	1.23236	1.23236	1.23236	2018.03.23 00:00:00
1.23538	1.23538	1.23538	1.23488	1.23488	1.23488	2018.03.25 00:00:00
1.23547	1.23547	1.23547	1.23537	1.23537	1.23537	2018.03.26 00:00:00
1.24576	1.24576	1.24576	1.24568	1.24568	1.24568	2018.03.27 00:00:00
1.24088	1.24088	1.24088	1.24082	1.24082	1.24082	2018.03.28 00:00:00
1.23126	1.23126	1.23126	1.23119	1.23119	1.23119	2018.03.29 00:00:00
1.23029	1.23029	1.23029	1.23014	1.23014	1.23014	2018.03.30 00:00:00
1.23248	1.23248	1.23248	1.23188	1.23188	1.23188	2018.04.01 00:00:00
1.23129	1.23129	1.23129	1.23121	1.23121	1.23121	2018.04.02 00:00:00
1.22934	1.22934	1.22934	1.22926	1.22926	1.22926	2018.04.03 00:00:00
1.22785	1.22785	1.22785	1.22777	1.22777	1.22777	2018.04.04 00:00:00
1.22876	1.22876	1.22876	1.22867	1.22867	1.22867	2018.04.05 00:00:00
1.22489	1.22489	1.22489	1.22483	1.22483	1.22483	2018.04.06 00:00:00
1.22869	1.22869	1.22869	1.22825	1.22825	1.22825	2018.04.08 00:00:00
1.22711	1.22711	1.22711	1.22704	1.22704	1.22704	2018.04.09 00:00:00
1.23209	1.23209	1.23209	1.23202	1.23202	1.23202	2018.04.10 00:00:00
1.23631	1.23631	1.23631	1.23624	1.23624	1.23624	2018.04.11 00:00:00
1.23721	1.23721	1.23721	1.23714	1.23714	1.23714	2018.04.12 00:00:00
1.23295	1.23295	1.23295	1.23288	1.23288	1.23288	2018.04.13 00:00:00
1.23363	1.23363	1.23363	1.23286	1.23286	1.23286	2018.04.15 00:00:00
1.2332	1.2332	1.2332	1.23312	1.23312	1.23312	2018.04.16 00:00:00
1.23841	1.23841	1.23841	1.23832	1.23832	1.23832	2018.04.17 00:00:00
1.23729	1.23729	1.23729	1.23722	1.23722	1.23722	2018.04.18 00:00:00
1.23789	1.23789	1.23789	1.23782	1.23782	1.23782	2018.04.19 00:00:00
1.23436	1.23436	1.23436	1.23427	1.23427	1.23427	2018.04.20 00:00:00
1.22773	1.22773	1.22773	1.22696	1.22696	1.22696	2018.04.22 00:00:00
1.22742	1.22742	1.22742	1.22735	1.22735	1.22735	2018.04.23 00:00:00
1.22098	1.22098	1.22098	1.2209	1.2209	1.2209	2018.04.24 00:00:00
1.22379	1.22379	1.22379	1.22365	1.22365	1.22365	2018.04.25 00:00:00
1.21707	1.21707	1.21707	1.21695	1.21695	1.21695	2018.04.26 00:00:00
1.21087	1.21087	1.21087	1.21078	1.21078	1.21078	2018.04.27 00:00:00
1.21249	1.21249	1.21249	1.21215	1.21215	1.21215	2018.04.29 00:00:00
1.21229	1.21229	1.21229	1.2122	1.2122	1.2122	2018.04.30 00:00:00
1.20821	1.20821	1.20821	1.20809	1.20809	1.20809	2018.05.01 00:00:00
1.19912	1.19912	1.19912	1.19903	1.19903	1.19903	2018.05.02 00:00:00
1.19507	1.19507	1.19507	1.19494	1.19494	1.19494	2018.05.03 00:00:00
1.19892	1.19892	1.19892	1.19879	1.19879	1.19879	2018.05.04 00:00:00
1.1963	1.1963	1.1963	1.19557	1.19557	1.19557	2018.05.06 00:00:00
1.19554	1.19554	1.19554	1.19539	1.19539	1.19539	2018.05.07 00:00:00
1.19337	1.19337	1.19337	1.19324	1.19324	1.19324	2018.05.08 00:00:00
1.18678	1.18678	1.18678	1.18668	1.18668	1.18668	2018.05.09 00:00:00
1.18471	1.18471	1.18471	1.18463	1.18463	1.18463	2018.05.10 00:00:00
1.19143	1.19143	1.19143	1.19133	1.19133	1.19133	2018.05.11 00:00:00
1.19464	1.19464	1.19464	1.19384	1.19384	1.19384	2018.05.13 00:00:00
1.19532	1.19532	1.19532	1.19517	1.19517	1.19517	2018.05.14 00:00:00
1.19316	1.19316	1.19316	1.19306	1.19306	1.19306	2018.05.15 00:00:00
1.18209	1.18209	1.18209	1.18197	1.18197	1.18197	2018.05.16 00:00:00
1.18154	1.18154	1.18154	1.18139	1.18139	1.18139	2018.05.17 00:00:00
1.17909	1.17909	1.17909	1.17897	1.17897	1.17897	2018.05.18 00:00:00
1.17765	1.17765	1.17765	1.17685	1.17685	1.17685	2018.05.20 00:00:00
1.17659	1.17659	1.17659	1.17647	1.17647	1.17647	2018.05.21 00:00:00
1.17905	1.17905	1.17905	1.17891	1.17891	1.17891	2018.05.22 00:00:00
1.17892	1.17892	1.17892	1.17871	1.17871	1.17871	2018.05.23 00:00:00
1.17099	1.17099	1.17099	1.17088	1.17088	1.17088	2018.05.24 00:00:00
1.17228	1.17228	1.17228	1.17216	1.17216	1.17216	2018.05.25 00:00:00
1.16873	1.16873	1.16873	1.16826	1.16826	1.16826	2018.05.27 00:00:00
1.16892	1.16892	1.16892	1.16877	1.16877	1.16877	2018.05.28 00:00:00
1.16271	1.16271	1.16271	1.16256	1.16256	1.16256	2018.05.29 00:00:00
1.15383	1.15383	1.15383	1.15366	1.15366	1.15366	2018.05.30 00:00:00
1.16653	1.16653	1.16653	1.16641	1.16641	1.16641	2018.05.31 00:00:00
1.16926	1.16926	1.16926	1.1691	1.1691	1.1691	2018.06.01 00:00:00
1.16643	1.16643	1.16643	1.16563	1.16563	1.16563	2018.06.03 00:00:00
1.16682	1.16682	1.16682	1.16669	1.16669	1.16669	2018.06.04 00:00:00
1.17005	1.17005	1.17005	1.1699	1.1699	1.1699	2018.06.05 00:00:00
1.17265	1.17265	1.17265	1.1725	1.1725	1.1725	2018.06.06 00:00:00
1.17818	1.17818	1.17818	1.17804	1.17804	1.17804	2018.06.07 00:00:00
1.17938	1.17938	1.17938	1.17922	1.17922	1.17922	2018.06.08 00:00:00
1.17761	1.17761	1.17761	1.17709	1.17709	1.17709	2018.06.10 00:00:00
1.1785	1.1785	1.1785	1.17834	1.17834	1.17834	2018.06.11 00:00:00
1.17732	1.17732	1.17732	1.17719	1.17719	1.17719	2018.06.12 00:00:00
1.17481	1.17481	1.17481	1.1747	1.1747	1.1747	2018.06.13 00:00:00
1.18038	1.18038	1.18038	1.18029	1.18029	1.18029	2018.06.14 00:00:00
1.1564	1.1564	1.1564	1.15628	1.15628	1.15628	2018.06.15 00:00:00
1.15912	1.15912	1.15912	1.15845	1.15845	1.15845	2018.06.17 00:00:00
1.15936	1.15936	1.15936	1.15925	1.15925	1.15925	2018.06.18 00:00:00
1.16303	1.16303	1.16303	1.16293	1.16293	1.16293	2018.06.19 00:00:00
1.15888	1.15888	1.15888	1.15877	1.15877	1.15877	2018.06.20 00:00:00
1.15785	1.15785	1.15785	1.15767	1.15767	1.15767	2018.06.21 00:00:00
1.16052	1.16052	1.16052	1.16036	1.16036	1.16036	2018.06.22 00:00:00
1.16658	1.16658	1.16658	1.16605	1.16605	1.16605	2018.06.24 00:00:00
1.16612	1.16612	1.16612	1.16596	1.16596	1.16596	2018.06.25 00:00:00
1.17016	1.17016	1.17016	1.17001	1.17001	1.17001	2018.06.26 00:00:00
1.16503	1.16503	1.16503	1.16487	1.16487	1.16487	2018.06.27 00:00:00
1.15636	1.15636	1.15636	1.15622	1.15622	1.15622	2018.06.28 00:00:00
1.15642	1.15642	1.15642	1.15628	1.15628	1.15628	2018.06.29 00:00:00
1.16781	1.16781	1.16781	1.16735	1.16735	1.16735	2018.07.01 00:00:00
1.16791	1.16791	1.16791	1.1678	1.1678	1.1678	2018.07.02 00:00:00
1.1642	1.1642	1.1642	1.16411	1.16411	1.16411	2018.07.03 00:00:00
1.16594	1.16594	1.16594	1.16584	1.16584	1.16584	2018.07.04 00:00:00
1.16608	1.16608	1.16608	1.16598	1.16598	1.16598	2018.07.05 00:00:00
1.16924	1.16924	1.16924	1.16914	1.16914	1.16914	2018.07.06 00:00:00
1.17452	1.17452	1.17452	1.17372	1.17372	1.17372	2018.07.08 00:00:00
1.17522	1.17522	1.17522	1.17512	1.17512	1.17512	2018.07.09 00:00:00
1.17565	1.17565	1.17565	1.17555	1.17555	1.17555	2018.07.10 00:00:00
1.17287	1.17287	1.17287	1.17277	1.17277	1.17277	2018.07.11 00:00:00
1.16757	1.16757	1.16757	1.16746	1.16746	1.16746	2018.07.12 00:00:00
1.16646	1.16646	1.16646	1.16633	1.16633	1.16633	2018.07.13 00:00:00
1.16912	1.16912	1.16912	1.16877	1.16877	1.16877	2018.07.15 00:00:00
1.16791	1.16791	1.16791	1.16779	1.16779	1.16779	2018.07.16 00:00:00
1.17098	1.17098	1.17098	1.17086	1.17086	1.17086	2018.07.17 00:00:00
1.16542	1.16542	1.16542	1.16528	1.16528	1.16528	2018.07.18 00:00:00
1.16456	1.16456	1.16456	1.16443	1.16443	1.16443	2018.07.19 00:00:00
1.16552	1.16552	1.16552	1.16529	1.16529	1.16529	2018.07.20 00:00:00
1.17281	1.17281	1.17281	1.17232	1.17232	1.17232	2018.07.22 00:00:00
1.17411	1.17411	1.17411	1.17399	1.17399	1.17399	2018.07.23 00:00:00
1.16942	1.16942	1.16942	1.16931	1.16931	1.16931	2018.07.24 00:00:00
